Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
return of my period,return of my period,my cycle was back (I'm menopausal ),"['post-menopausal and have now had a six day period' 'period another'
 ""cycle was back (I'm menopausal )"" 'brought my period on'
 ""my cycle was back (I'm menopausal )""]",Semantic confusion
times at night to pee normally  or,5-6 times at night to pee; normally 1 or 2,urge to urinate constantly,"['no control over urination' 'dark urine' 'dark urine'
 ""I'm up all night in bathroom"" 'urge to urinate constantly']",Semantic confusion
hand writting had deteriorated,hand writting had deteriorated,lost all ability to control hands,"['hand weakness (constantly dropping things)' 'Severe numbness in hand'
 'right hand has been getting numb' 'hand pain'
 'lost all ability to control hands']",Semantic confusion
memory weakened,memory weakened,loss of memory,"['Loss of memory' 'loss of memory' 'loss of memory' 'LOSS OF MEMORY'
 'loss of memory']",Semantic confusion
less muscle mass,Less muscle mass,decrease in muscle strength,"['loss of muscle strength' 'muscles have diminished'
 'loss of muscle mass in arms' 'loss of muscle mass in arms'
 'decrease in muscle strength']",Semantic confusion
feel like a bubble of air is stuck in my chest,feel like a bubble of air is stuck in my chest,Weird tight feeling in chest cavity,"['chest discomfort' 'chest aches' 'chest hurt' 'chest ache'
 'Weird tight feeling in chest cavity']",Semantic confusion
agitation,agitation,Extreme agitation,"['irritability' 'irritability' 'violent anger' 'agitated'
 'Extreme agitation']",Semantic confusion
muscle pain in my chest,muscle pain in my chest,Chest muscle pains,"['muscles in my chest started aching'
 'muscles pain on the left side of my chest' 'pain in chest'
 'Muscle aches in chest' 'Chest muscle pains']",Semantic confusion
dizziness,dizziness,Dizziness,['dizziness' 'Dizziness' 'dizziness' 'Dizziness' 'dizziness'],Lexical variation
sleep disturbance,sleep disturbance,sleep disturbances,"['loss of sleep' 'sleep loss' 'Constant sleepiness'
 'Disturbed sleep patterns' 'sleep disturbances']",Semantic confusion
hurt to stand,hurt to stand,Hurt to get up,['knee hurt' 'knee hurt' 'Feet still hurt' 'hurt' 'Hurt to get up'],Semantic confusion
very painful muscle aches back,very painful muscle aches back,Very painful muscle aches in lower back,"['muscle aches in my lower back' 'Muscle Pain in upper back'
 'muscle pain in back' 'Slight muscle aches in my back'
 'Very painful muscle aches in lower back']",Semantic confusion
severe insomnia,severe insomnia,insomnia,['insomnia' 'insomnia' 'Insomnia' 'insomnia' 'insomnia'],Semantic confusion
joint aches in calves,joint aches in calves,calves joint pain in,"['calf pains' 'severe pain in calves'
 'Very painful muscle aches in calves' 'muscle aches in calves'
 'calves joint pain in']",Semantic confusion
falling asleep all the time,falling asleep all the time,fall asleep,"['trouble sleeping' 'trouble sleeping' 'sleep disturbances'
 'lack of sleep' 'fall asleep']",Semantic confusion
pain traveling to my buddocks,pain traveling to my buddocks,Pain trying to walk,"['constant pain' 'constant pain' 'constant pain'
 'pain has been so intense' 'Pain trying to walk']",Semantic confusion
urge to urinate,urge to urinate,urge to urinate constantly,"['urinary incontinence' ""couldn't urinate"" 'Difficulty urinating'
 'no control over urination' 'urge to urinate constantly']",Semantic confusion
fatigued,Fatigued,fatigued,['FATIGUED' 'fatigued' 'fatigued' 'fatigued' 'fatigued'],Semantic confusion
rush all over my face,rush all over my face,face looks puffy,['Exhaustion' 'exhaustion' 'falling over' 'MOVE SLOW' 'face looks puffy'],Semantic confusion
week,week,WEEK,['confusion' 'confusion' 'Confusion' 'was incredibly week' 'WEEK'],Semantic confusion
pulse was high,pulse was high,pulse is still extremely high,"['resting pulse jumped to between 100 and 105' 'rapid pulse' 'low pulse'
 'resting pulse had jumped to about 120' 'pulse is still extremely high']",Semantic confusion
foggy,foggy,Foggy,['foggy vision' 'foggy-headedness' 'foggy brain' 'Foggy brain' 'Foggy'],Semantic confusion
back pain in the am,back pain in the am,pain in back,"['Pain in back' 'pain in back' 'pain in back' 'pain in back'
 'pain in back']",Semantic confusion
elevated creatine,elevated creatine,elevated Creatinine,"['elevated CPK' 'slightly elevated CPK' 'increase in cramping'
 'elevated CRP' 'elevated Creatinine']",Semantic confusion
aching joints wrists,aching joints wrists,wrists pain,"['wrist pain' 'joints aching' 'aching joints' 'aching joints'
 'wrists pain']",Semantic confusion
numbness in right toe,Numbness in right toe,numbness in left foot,"['Numbness in all of my toes' 'numb feet in toe area'
 'Numbness in all toes' 'numbness in toes' 'numbness in left foot']",Semantic confusion
getting out of bed is painful,Getting out of bed is painful,moving in bed is painful,"['waking me up at night in pain' ""can't get out of bed""
 'unable to get out of bed' 'difficult for me to get out of bed'
 'moving in bed is painful']",Semantic confusion
lower legs hurt,lower legs hurt,Pain in lower legs,"['pain in my lower leg' 'pain in my lower leg' 'Pain in my lower legs'
 'lower leg pain' 'Pain in lower legs']",Semantic confusion
increased memory loss,increased memory loss,memory loss,['memory loss' 'memory loss' 'memory loss' 'memory loss' 'memory loss'],Semantic confusion
strength depletion,strength depletion,loss of strength,"['losing strength' 'decrease in overall strength' 'loss of strength'
 'loss of strength' 'loss of strength']",Semantic confusion
sleeping all day and night,Sleeping all day and night,not sleeping,['NO SLEEP' 'no sleep' 'no sleep' 'not sleeping' 'not sleeping'],Semantic confusion
loss of hair,loss of hair,LOSS OF HAIR,['Hair loss' 'hair loss' 'Hair loss' 'loss of hair' 'LOSS OF HAIR'],Lexical variation
feeling of impending doom,feeling of impending doom,Irrational feelings of impending doom,"['feeling like something was going to happen' 'FEELING OF DOOM'
 'impending doom' 'impending doom' 'Irrational feelings of impending doom']",Semantic confusion
toes painful,toes painful,toes hurt,"['pain in toes and feet' 'Toes became so painful' 'toes hurt' 'toes hurt'
 'toes hurt']",Semantic confusion
feeling tired a lot,feeling tired a lot,feeling tired all the time,"['feel tired' 'extremely tired feeling' 'always feeling tired'
 'feeling extremely tired' 'feeling tired all the time']",Semantic confusion
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
weakness,Weakness,weakness,['weakness' 'weakness' 'weakness' 'weakness' 'weakness'],Semantic confusion
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
knees hurt,knees hurt,Pain in knees,['knees aches' 'knee hurt' 'knee hurt' 'PAIN IN MY KNEES' 'Pain in knees'],Semantic confusion
felt like i had the flu,felt like I had the flu,felt like I was coming down with flu,"['fluish feeling' 'feeling horrible like a severe flu just hit me'
 'aching (like the flu)' 'felt flu-like'
 'felt like I was coming down with flu']",Semantic confusion
body was shutting down,"body was ""shutting"" down",went down muscles,"[""couldn't get out of bed"" 'legs were so weak and tired' 'belly blew up'
 'heart stopped' 'went down muscles']",Semantic confusion
looseness in the body structure,looseness in the body structure,Muscle tightness,"['tightness' 'noticible loss of muscle structure' 'muscles very tight'
 'Muscle tightness' 'Muscle tightness']",Semantic confusion
stomach cramps,Stomach cramps,stomach cramps,"['stomach cramps' 'stomach cramps' 'stomach cramps' 'stomach cramps'
 'stomach cramps']",Semantic confusion
als,ALS,als,"['hoarseness/coughing' 'plugged ears' 'hoarse voice' 'symptoms of als'
 'als']",Semantic confusion
stomach feels empty all the time,stomach feels empty all the time,"""empty stomach"" feeling","['Abdominal distention - feel full' 'stomach emptiness and pain'
 'feeling like my stomach is full and empty at the same time'
 'empty stomach feeling' '""empty stomach"" feeling']",Semantic confusion
left leg iliotial band syndrome,left leg iliotial band syndrome,severe pain in left leg,"['pain in my left leg' 'restless leg syndrome' 'restless leg syndrome'
 'Restless Leg Syndrome' 'severe pain in left leg']",Semantic confusion
extreme weakness,Extreme weakness,extreme weakness,['weakness' 'weakness' 'weakness' 'weakness' 'extreme weakness'],Semantic confusion
bad muscle pains,bad muscle pains,Muscle pains,"['muscle pains' 'muscle pains' 'muscle pains' 'muscle pains'
 'muscle pains']",Semantic confusion
flu like synptoms,Flu like synptoms,flu like syptoms,"['flu-symptoms' 'flu-like symtoms' 'flu like symtoms' 'flu-like syptoms'
 'flu like syptoms']",Semantic confusion
suicidal,suicidal,suicide,"['thoughts about suicide' 'thoughts of suicide' 'suicidal thoughts'
 'suicidal depression' 'suicide']",Semantic confusion
tiredness is at a high level,tiredness is at a high level,extreme tiredness,"['extreme tiredness' 'extreme tiredness' 'extreme tiredness'
 'extreme tiredness' 'extreme tiredness']",Semantic confusion
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
heavyextra vaginal bleeding,heavy/extra vaginal bleeding,heavy vaginal bleeding,"['vaginal bleeding' 'vaginal bleeding' 'vaginal bleeding'
 'heavy vaginal bleeding' 'heavy vaginal bleeding']",Semantic confusion
numbness on left arm,Numbness on left arm,numbness in arms,"['Numbness on left side of face' 'numbness in left foot'
 'numbness in limbs' 'numbness on left side' 'numbness in arms']",Semantic confusion
noise intolerance,noise intolerance,sever heat intolerance,"['tremors' 'feeling a fragility' 'exercise intolerance'
 'exercise intolerance' 'sever heat intolerance']",Semantic confusion
didnt even decrease the pain a little bit,Didn't even decrease the pain a little bit,Pain was worse,"['Very bad pain' 'increasing pain' 'pain was too severe' 'worse pain'
 'Pain was worse']",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
numbness,Numbness,numbness,['numbness' 'numbness' 'numbness' 'numbness' 'numbness'],Semantic confusion
severe plantar faciitis,Severe plantar faciitis,plantar fasciatis,"['sore feet (Faciitis)' 'Planta fasciitis similarities'
 'plantar fasciitis of my left foot' 'plantar fasciitis in my feet'
 'plantar fasciatis']",Semantic confusion
gasto discomfort,Gasto discomfort,gas pains,"['gas pains back' 'gas pains around my abdomen' 'gas pains in abdomen'
 'gastric pain' 'gas pains']",Semantic confusion
muscle and joint pain,muscle and joint pain,Joint and muscle pain,"['JOINT PAIN' 'joint pain' 'joint pain' 'Joint pain'
 'Joint and muscle pain']",Semantic confusion
nerves sensitivity,nerves sensitivity,nerve sensitivity,"['nerve damage' 'nerve damage' 'increased sensitivity to other drugs'
 'Nerve pain' 'nerve sensitivity']",Semantic confusion
high cpk,high cpk,HIGH CPK,"['slightly elevated CPK' 'CPK was elevated' 'CPK elevated' 'elevated CPK'
 'HIGH CPK']",Semantic confusion
headache,headache,Headache,['headache' 'headache' 'headache' 'headache' 'Headache'],Lexical variation
achy joints,achy joints,Very sore and achy joints,"['achy legs' 'tender joints' 'aching joints' 'aching joints'
 'Very sore and achy joints']",Semantic confusion
super dry skin,SUPER dry skin,dry skin,"['skin condition' 'skin is so dry' 'skin is so dry' 'skin is so dry'
 'dry skin']",Semantic confusion
pains in my hip,pains in my hip,hip pains,['hip pain' 'Pain in hip' 'pain in hip' 'hip pains' 'hip pains'],Semantic confusion
extreme tiredness,EXTREME TIREDNESS,Extreme tiredness,"['extreme tiredness' 'extreme tiredness' 'extreme tiredness'
 'Extreme tiredness' 'Extreme tiredness']",Semantic confusion
felt like i had been run over by a truck,FELT LIKE I HAD BEEN RUN OVER BY A TRUCK,feel like I got hit by a truck,"['felt like I had lead in my legs' 'felt like I was having a stroke'
 'felt like I was having a stroke' 'felt like a truck hit me'
 'feel like I got hit by a truck']",Semantic confusion
light headednessproblem keeping balance,light headedness(problem keeping balance),light headedness,"['light headed' 'light headed' 'light-headedness feeling'
 'light headedness' 'light headedness']",Semantic confusion
eyes hurt,eyes hurt,eye pain,"['eyes spaced out feeling' 'eyes are bloodshot' 'Eye problem'
 'eye trouble' 'eye pain']",Semantic confusion
loss of sex drive,loss of sex drive,loss of any sex drive,"['SEX DRIVE GONE' 'Sex drive has decreased' 'decreased sex drive'
 'loss of sexual drive' 'loss of any sex drive']",Semantic confusion
neuropathy in left foot,neuropathy in left foot,pain in left foot,"['inability to walk with left foot pain' 'toe neuropathy' 'toe neuropathy'
 'numbness in left foot' 'pain in left foot']",Semantic confusion
stiffness in joints,stiffness in joints,joint stiffness,"['stiff joints' 'stiff joints' 'Joint Stiffness' 'joint stiffness'
 'joint stiffness']",Semantic confusion
right knee swelled,right knee swelled,swelling of right knee,"['Swollen knees' 'swelling in knee' 'knee swells' 'swelling at knee'
 'swelling of right knee']",Semantic confusion
loss of muscle mass in face,loss of muscle mass in face,loss of muscle mass in arms,"['loss of muscle' 'loss of muscle mass in hands'
 'loss of muscle mass in chest' 'loss of muscle mass in arms'
 'loss of muscle mass in arms']",Semantic confusion
tired most of the time,Tired most of the time,tired all the time,"['tired all the time' 'tired all the time' 'tired all the time'
 'tired all the time' 'tired all the time']",Semantic confusion
muscle soreness,muscle soreness,MUSCLE SORENESS,"['overall muscle soreness' 'soreness in muscles' 'muscle soreness'
 'muscle soreness' 'MUSCLE SORENESS']",Lexical variation
crippling back pain,crippling back pain,pain in back,"['pain in back' 'pain in back' 'Pain in back' 'pain in back'
 'pain in back']",Semantic confusion
extremly bad pains in shoulders,extremly bad pains in shoulders,very bad pains in shoulders,"['extreme muscle pain in shoulders' 'extreme pain in both shoulders'
 'Terrible pain in shoulders' 'EXTREME PAIN IN SHOULDERS'
 'very bad pains in shoulders']",Semantic confusion
ankles swelling,ankles swelling,swelling of ankles,"['swollen feet & ankles' 'sever swelling of ankles' 'swollen ankles'
 'Swollen ankles' 'swelling of ankles']",Semantic confusion
pain on outer sides of thighs,pain on outer sides of thighs,Severe pain in both thighs,"['joint pain in thighs' 'muscle pain in thighs'
 'thighs muscle pain in the' 'severe pain in my thighs'
 'Severe pain in both thighs']",Semantic confusion
calf leg cramps,calf leg cramps,Leg calf cramps,"['cramping of the calf muscles' 'Cramps in calves' 'calf muscle cramping'
 'calf cramps' 'Leg calf cramps']",Semantic confusion
severe irregular heartbeat,severe irregular heartbeat,erratic heart beat,"['severe heart disease' 'skipping heart beats' 'irregullar heartbeat'
 'fast and slow heartbeat' 'erratic heart beat']",Semantic confusion
language and learning ability loss including spoken and written aphasia and inability to read,language and learning ability loss including spoken and written aphasia and inability to read,decreased cognitive skills,"['speech difficulties like pronunciation' 'memory impaired'
 'loss of speech' 'impaired memory' 'decreased cognitive skills']",Semantic confusion
sleepless nights,sleepless nights,sleeplessness,"['sleeplessness' 'Sleeplessness' 'sleeplessness' 'sleeplessness'
 'sleeplessness']",Semantic confusion
swollen nasal passages,Swollen nasal passages,swells the nasal passages,"['swollen tongue' 'Facial swelling' 'swelling in throat'
 'swelling of throat' 'swells the nasal passages']",Semantic confusion
extreme fatigue,Extreme fatigue,extreme fatigue,"['Extreme fatigue' 'extreme fatigue' 'extreme fatigue' 'extreme fatigue'
 'extreme fatigue']",Lexical variation
little gas,little gas,gas,['gas' 'gas' 'gas' 'gas' 'gas'],Semantic confusion
bad gas,bad gas,HORRIBLE GAS,['gas' 'gas' 'Excessive gas' 'excessive gas' 'HORRIBLE GAS'],Semantic confusion
bursitis,bursitis,infections,"['sore back' 'peritonitis' 'severe infections' 'back soreness'
 'infections']",Semantic confusion
very bad headaches,very bad headaches,terrible headaches,"['Severe headaches' 'severe headaches' 'bad headache' 'terrible headaches'
 'terrible headaches']",Semantic confusion
dizzy,DIZZY,dizzy,['dizzy' 'dizzy' 'dizzy' 'dizzy' 'dizzy'],Semantic confusion
deep pain like gas pains,deep pain- like gas pains,gas pains,"['gas pains around my abdomen' 'gas pains in abdomen' 'gas pains back'
 'gas pains in back' 'gas pains']",Semantic confusion
nausia,nausia,diahrea,['nauseous' 'nauseous' 'Naseua' 'diahrea' 'diahrea'],Semantic confusion
numbing of my feet,numbing of my feet,feet numbing,"['tingling of feet' 'numb toes' 'Numbness in all of my toes'
 'numbness in my feet' 'feet numbing']",Semantic confusion
losing the feeling in his right hand,losing the feeling in his right hand,right hand has been getting numb,"['Hands numb' 'hands numb' 'strong tingling in one hand'
 'right hand has been hurting' 'right hand has been getting numb']",Semantic confusion
cramped,cramped,tightness,['discomfort' 'discomfort' 'stiff' 'stiff' 'tightness'],Semantic confusion
excrutiating pain,excrutiating pain,excruciating pain,"['excruciatig pain' 'excrutiation pain throughout my entire body'
 'excruciating pain' 'excruciating pain' 'excruciating pain']",Semantic confusion
cant walk,can't walk,cant walk,"['unable to walk' 'unable to walk' 'unable to walk' 'UNABLE TO WALK'
 'cant walk']",Semantic confusion
miniscus damage,miniscus damage,muscle damage,"['muscle damage' 'muscle damage' 'muscle damage' 'muscle damage'
 'muscle damage']",Semantic confusion
upset stomache,upset stomache,Upset stomach,"['stomach upset' 'Upset stomach' 'upset stomach' 'Upset stomach'
 'upset stomach']",Semantic confusion
peripheral neuropathy in feet and legs,peripheral neuropathy in feet and legs,Peripheral Neuropathy,"['toe neuropathy' 'peripheral neuropathy' 'peripheral neuropathy'
 'peripheral neuropathy' 'Peripheral Neuropathy']",Semantic confusion
freezing coldlike arms plunged into freezing waterthen burning sensations,"freezing cold,like arms plunged into freezing water,then burning sensations",arm muscles melting,"['cold hands' 'burning sensations' 'burning sensations in hands'
 'burning in arms' 'arm muscles melting']",Semantic confusion
constantly weak,constantly weak,weak all the time,['weak' 'weak' 'weak' 'Weak' 'weak all the time'],Semantic confusion
leg cramps,LEG CRAMPS,leg cramps,['leg cramps' 'leg cramps' 'leg cramps' 'leg cramps' 'leg cramps'],Semantic confusion
tremors although the body,tremors although the body,Tremor,['tremor' 'Tremor' 'tremor' 'tremor' 'tremor'],Semantic confusion
numbness,Numbness,numbness,['numbness' 'numbness' 'numbness' 'numbness' 'numbness'],Semantic confusion
heavy menstrual bleeding,Heavy menstrual bleeding,heavy menstrual bleeding,"['heavy vaginal bleeding' 'heavy vaginal bleeding'
 'menstruating with heavy bleeding every 11 days'
 'heavy menstrual bleeding' 'heavy menstrual bleeding']",Semantic confusion
extreme tiredness,extreme tiredness,Extreme tiredness,"['extreme tiredness' 'extreme tiredness' 'extreme tiredness'
 'Extreme tiredness' 'Extreme tiredness']",Lexical variation
uncharacteristical moodiness,uncharacteristical moodiness,moodiness,['moodiness' 'moodiness' 'moodiness' 'moodiness' 'moodiness'],Semantic confusion
very severe pain in knees,Very severe pain in knees,severe pain in my knees,"['severe knee pain' 'SEVERE KNEE PAIN' 'Pain in knees'
 'intense pain in my knees' 'severe pain in my knees']",Semantic confusion
extremely sick,extremely sick,sick,['feeling sick' 'sick' 'sick' 'sick' 'sick'],Semantic confusion
lower legs have been hurting,Lower legs have been hurting,Pain in lower legs,"['pain in my lower leg' 'pain in my lower leg' 'lower leg pain'
 'Pain in my lower legs' 'Pain in lower legs']",Semantic confusion
excruciating pain in shoulders,EXCRUCIATING PAIN IN SHOULDERS,pain in shoulders,"['Pain in the shoulders' 'EXTREME PAIN IN SHOULDERS' 'pain in shoulders'
 'pain in shoulders' 'pain in shoulders']",Semantic confusion
constipation,Constipation,constipation,"['constipation' 'Constipation' 'constipation' 'constipation'
 'constipation']",Lexical variation
hip joint pain,hip joint pain,pain of the hip joint,"['joint pain in my hips' 'Joint pain in the hips' 'Joint pain in hips'
 'Joint pain in hips' 'pain of the hip joint']",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
physical changes,physical changes,changes in physical activity,"['digestive changes' 'change in personality' 'declining physical ability'
 'emotional changes' 'changes in physical activity']",Semantic confusion
little pain,little pain,pain,['pain' 'pain' 'pain' 'pain' 'pain'],Semantic confusion
lousy sleeping at night,lousy sleeping at night,inability to sleep well,"['difficulty sleeping' 'Difficulty sleeping' 'Inability to Sleep'
 'can hardly sleep' 'inability to sleep well']",Semantic confusion
mitochondrial dna mutations,Mitochondrial DNA mutations,muscle disintegration/degeneration,"['loss of muscle mass in arms' 'loss of muscle mass in arms'
 'muscle atrophy' 'noticible loss of muscle structure'
 'muscle disintegration/degeneration']",Semantic confusion
severe mentrual cramps,severe mentrual cramps,mentstrual cramps,"['very severe cramps' 'menstrual cramps' 'menstrual cramps'
 'severe cramps' 'mentstrual cramps']",Semantic confusion
dehydrated,dehydrated,dehydration,['drained' 'vomited' 'drained and tired' 'sweated' 'dehydration'],Semantic confusion
tias,TIA's,syptoms similar to TIA,['aches' 'aches' 'aches' 'Aches' 'syptoms similar to TIA'],Semantic confusion
bp was extrememly high,BP was extrememly high,BP was very low,['Increased BP' 'elevated BP' 'low bp' 'high BP' 'BP was very low'],Semantic confusion
worst pain i have ever experienced,worst pain I have ever experienced,worse pain,"['intense, horrid pain' 'Very bad pain' 'Pain was worse' 'horrible pain'
 'worse pain']",Semantic confusion
anzity,ANZITY,leathargy,['achiness' 'dizzines' 'dizzines' 'bloat' 'leathargy'],Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
swelling wrists,swelling wrists,wrists pain,"['wrist pain' 'wrist pain' 'swelling hands' 'wrists seized up'
 'wrists pain']",Semantic confusion
contact pain where weight presses against things,contact pain where weight presses against things,Pain in hands,"['painful muscles' 'pains in hands' 'hand pain' 'Pain in hands'
 'pain in hands']",Semantic confusion
back pain,back pain,Back pain,['back pain' 'back pain' 'back pain' 'back pain' 'back pain'],Lexical variation
sensitivity,sensitivity,nerve sensitivity,"['increased sensitivity to other drugs' 'sun sensitivity'
 'sun sensitivity' 'sun sensitivity' 'nerve sensitivity']",Semantic confusion
vertigo like symptons,VERTIGO LIKE SYMPTONS,severe vertigo,['vertigo' 'vertigo' 'vertigo' 'vertigo' 'severe vertigo'],Semantic confusion
tingling in my feet,tingling in my feet,tingling of feet,"['tingling in my legs' 'tingling in the soles of my feet'
 'Tingling in toes and feet' 'sensations of tingling in my feet'
 'tingling of feet']",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
could not stop shaking,could not stop shaking,shaking,"['Very shaky' 'shaky' 'shaky' 'shaking with chills uncontrollably'
 'shaking']",Semantic confusion
uterine cramping,uterine cramping,severe uterine cramping,"['menstrual cramps' 'uterus pain and cramping' 'extreme uterine cramping'
 'uterine cramps' 'severe uterine cramping']",Semantic confusion
cold shivers,cold shivers,chills,['cold sweat' 'chills' 'chills' 'chills' 'chills'],Semantic confusion
nerve pain,nerve pain,Nerve pain,"['permanent nerve damage' 'nerve damage' 'nerve damage' 'nerve damage'
 'Nerve pain']",Semantic confusion
strength decrease dramatically,strength decrease dramatically,decrease in overall strength,"['loss of strength' 'loss of strength' 'loss of strength'
 'decrease in muscle strength' 'decrease in overall strength']",Semantic confusion
severe pain,Severe pain,severe pain,['severe pain' 'severe pain' 'severe pain' 'Severe pain' 'severe pain'],Lexical variation
lips started to swell,lips started to swell,slight swelling of cheeks,"['swollen tongue' 'swollen tongue' 'swelling face' 'Facial swelling'
 'slight swelling of cheeks']",Semantic confusion
stomach aches,stomach aches,Stomach ache,"['stomach pains' 'Stomach pains' 'stomach pains' 'stomache aches'
 'Stomach ache']",Semantic confusion
sweating alot,sweating alot,sweating a lot,['sweating' 'sweating' 'sweating' 'sweating a lot' 'sweating a lot'],Semantic confusion
muscle soreness,muscle soreness,MUSCLE SORENESS,"['overall muscle soreness' 'soreness in muscles' 'muscle soreness'
 'muscle soreness' 'MUSCLE SORENESS']",Lexical variation
finger numbness,finger numbness,numbness in fingers,"['numbness' 'numbness' 'numbness in my hands' 'numbness in fingers'
 'Numbness in fingers']",Semantic confusion
ackey leg cramps,Ackey leg cramps,leg cramps,['leg cramps' 'leg cramps' 'leg cramps' 'leg cramps' 'leg cramps'],Semantic confusion
severe muscle pain,severe muscle pain,Severe muscle pain,"['severe muscle pain' 'severe muscle pain' 'Severe muscle pain'
 'Severe muscle pain' 'severe muscle pain']",Lexical variation
taste perversion,taste perversion,Taste perversion,"['decreased sense of taste' 'lost my sense of taste' 'taste loss'
 'altered taste' 'Taste perversion']",Semantic confusion
cycle was back,cycle was back,cycle was back (I'm menopausal ),"['brought my period on' 'period another' 'pain back'
 ""my cycle was back (I'm menopausal )"" ""cycle was back (I'm menopausal )""]",Semantic confusion
i was eighty years old,I was eighty years old,eighty years old feeling,"['felt like an old (older) man' ""feel like I've aged 20 years""
 'never felt so old in my life' 'felt much older than I was'
 'eighty years old feeling']",Semantic confusion
couldnt walk across the room,COULDN'T WALK ACROSS THE ROOM,could barely walk across the room,"['couldnt walk' ""could'nt walk"" ""couldn't walk"" ""couldn't walk""
 'could barely walk across the room']",Semantic confusion
pain in side muscles on one side of chest,Pain in side muscles on one side of chest,muscles pain on the left side of my chest,"['pain in chest' 'Muscle aches in chest' 'Chest muscle pains'
 'chest pain left side' 'muscles pain on the left side of my chest']",Semantic confusion
joints hurt,JOINTS HURT,joints hurt,"['painful joints' 'pain in joints' 'Pain in joints' 'pain in joints'
 'joints hurt']",Semantic confusion
stomack pains,stomack pains,pains,['pains' 'pains' 'pains' 'pains' 'pains'],Semantic confusion
skin felt like it was moving,skin felt like it was moving,skin was very red and rough,"['face has felt numb' 'skin was all red' 'skin was all red'
 'skin began to come off' 'skin was very red and rough']",Semantic confusion
i felt like i always had the flu,i felt like I always had the flu,felt like I was coming down with flu,"['flu like symptoms' 'flu like symptoms'
 'feeling horrible like a severe flu just hit me' 'aching (like the flu)'
 'felt like I was coming down with flu']",Semantic confusion
shortness of breath,Shortness of breath,shortness of breath,"['shortness of breath' 'shortness of breath' 'shortness of breath'
 'shortness of breath' 'shortness of breath']",Semantic confusion
extreme pain in upper back area,Extreme pain in upper back area,extreme pain in back,"['severe pain in back' 'Muscle Pain in upper back'
 'Extreme lower back pain' 'Extreme back pain' 'extreme pain in back']",Semantic confusion
loss of selfconfidence,loss of self-confidence,loss of desire to do or accomplish anything,"['lack of motivation' 'lack of motivation' 'lack of motivation'
 'lack of motivation' 'loss of desire to do or accomplish anything']",Semantic confusion
migraine,migraine,worse migraines,"['Migranes' 'migranes' 'migrane headaches' 'migrane headaches'
 'worse migraines']",Semantic confusion
extreme vertigo,Extreme vertigo,severe vertigo,['vertigo' 'vertigo' 'vertigo' 'vertigo' 'severe vertigo'],Semantic confusion
forgetfullness,forgetfullness,forgetful,"['forgetfulness' 'forgetfulness' 'forgetfulness' 'forgetfulness'
 'forgetful']",Semantic confusion
hurt to walk,hurt to walk,painful to walk,"['Difficult to walk' 'hard to walk' 'Pain trying to walk'
 'painful to walk' 'painful to walk']",Semantic confusion
stomach pain,STOMACH PAIN,stomach pain,"['stomach pain' 'stomach pain' 'stomach pain' 'stomach pain'
 'stomach pain']",Semantic confusion
pain in hands,pain in hands,Pain in hands,"['Pain in my hands' 'PAIN IN MY HANDS' 'pains in hands' 'pain in hands'
 'Pain in hands']",Lexical variation
severe muscle pain,severe muscle pain,Severe muscle pain,"['severe muscle pain' 'severe muscle pain' 'Severe muscle pain'
 'Severe muscle pain' 'severe muscle pain']",Lexical variation
short term memory issues,short term memory issues,short term memory problems,"['short term memory lacking' 'Terrible short term memory problems'
 'short term memory problems' 'Short term memory problems'
 'short term memory problems']",Semantic confusion
lower gut pain,Lower gut pain,lower abdominal pain,"['abdominal pain' 'TERRIBLE abdominal pain' 'gut-renching abdominal pain'
 'sharp unbearable cramping pains in lower gut' 'lower abdominal pain']",Semantic confusion
toes felt arthritic,toes felt arthritic;,aching in toes,"['pain in feet' 'pain in feet' 'feet joint pain similar to arthritis'
 'pain in toes and feet' 'aching in toes']",Semantic confusion
pain severe,pain severe,severe pain,['severe pain' 'severe pain' 'Severe pain' 'severe pain' 'severe pain'],Semantic confusion
could not walk up stairs with anything in my hands more than about  lbs,Could not walk up stairs with anything in my hands more than about 5-10 lbs,Can't walk up stairs,"['unable to climb stairs' 'difficulty walking up stairs'
 'could not walk up the stairs' ""couldn't go up stairs easily""
 ""Can't walk up stairs""]",Semantic confusion
tendinopathy,tendinopathy,tendinitis,"['Achilles Tendonsitis' 'tendonitis' 'tendonitis' 'tendonitis'
 'tendinitis']",Semantic confusion
